WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
,0.0,,0.0,2
800.0,0.0,,2.0,4
,,,,1
,,,,1
70.0,1.0,,2.0,6
900.0,0.0,53.0,0.0,3
2000.0,0.0,,0.0,2
940.0,1.0,,0.0,3
,0.0,62.0,1.0,4
110.0,0.0,,0.0,3
700.0,0.0,15.0,0.0,1
450.0,0.0,,0.0,5
,,,,1
,0.0,,0.0,2
,0.0,97.0,0.0,1
1300.0,0.0,,0.0,2
,0.0,,0.0,1
,0.0,27.0,0.0,2
,0.0,,0.0,1
870.0,1.0,,0.0,3
700.0,0.0,,0.0,1
,0.0,,0.0,1
,0.0,,0.0,3
,0.0,,,0
500.0,0.0,,0.0,2
1200.0,0.0,,0.0,1
,0.0,,0.0,5
,0.0,42.0,0.0,1
,0.0,96.0,3.0,5
1600.0,0.0,,0.0,2
800.0,0.0,,0.0,2
2500.0,0.0,,0.0,1
1300.0,0.0,,1.0,4
,0.0,12.0,1.0,4
,0.0,,0.0,3
80.0,0.0,30.0,0.0,2
90.0,0.0,,0.0,2
,0.0,39.0,0.0,1
,,,,1
,0.0,78.0,1.0,3
480.0,0.0,,2.0,4
90.0,0.0,,0.0,2
100.0,1.0,,0.0,1
,,,,1
120.0,0.0,59.0,0.0,3
720.0,0.0,,2.0,5
2000.0,0.0,16.0,0.0,3
,,,,1
2000.0,0.0,,0.0,1
50.0,0.0,,0.0,3
130.0,1.0,,0.0,1
,0.0,9.0,0.0,4
,0.0,,0.0,3
,0.0,,0.0,1
1200.0,0.0,,1.0,4
720.0,0.0,38.0,4.0,6
,0.0,23.0,0.0,2
490.0,0.0,,0.0,3
780.0,0.0,,0.0,5
800.0,0.0,,0.0,2
4.0,0.0,19.0,2.0,4
300.0,0.0,,1.0,6
,0.0,101.0,0.0,1
,0.0,23.0,0.0,3
1600.0,0.0,,0.0,3
,0.0,,0.0,6
,0.0,101.0,0.0,1
,0.0,93.0,3.0,6
,0.0,13.0,0.0,1
1600.0,0.0,,0.0,2
,,,,1
,,,,1
,,,,1
1000.0,0.0,21.0,0.0,1
980.0,1.0,,2.0,4
1200.0,0.0,,2.0,4
1200.0,0.0,,2.0,4
250.0,1.0,,0.0,2
100.0,0.0,,2.0,4
,0.0,,,0
,0.0,30.0,0.0,2
,0.0,,0.0,2
,0.0,,0.0,1
,0.0,101.0,0.0,1
1000.0,0.0,,2.0,3
,,,,1
170.0,0.0,,3.0,5
40.0,0.0,,0.0,1
,0.0,31.0,0.0,2
,0.0,,,0
1100.0,1.0,,0.0,2
,0.0,,,0
,,,,1
2700.0,0.0,,0.0,1
1400.0,1.0,,0.0,5
1400.0,0.0,,2.0,4
,,,,1
,0.0,35.0,0.0,2
,0.0,101.0,0.0,2
700.0,0.0,,0.0,2
900.0,0.0,,0.0,1
,0.0,72.0,1.0,3
360.0,1.0,,0.0,5
,0.0,27.0,0.0,2
,,,,1
,,,,1
600.0,0.0,,0.0,4
,,,,1
,0.0,16.0,0.0,5
1200.0,0.0,,0.0,4
,0.0,33.0,2.0,4
,0.0,27.0,0.0,1
800.0,1.0,,1.0,3
250.0,0.0,101.0,0.0,4
